ruta,carpeta_origen,comuna,nombre,tipo_archivo,bytes,sha256,paginas,chars_total,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto
descargas\algarrobo\diario_oficial\3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,descargas,algarrobo,3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,PDF,638850,b046117c16cd0792fc4d5311ac21bd189d2e1b39777c90b334a4193502ba91e0,4,5118,2,0,2,TEXTO
Ordenanzas Descargadas\1-600\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,descargadas,algarrobo,algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,PDF,638850,b046117c16cd0792fc4d5311ac21bd189d2e1b39777c90b334a4193502ba91e0,4,5118,2,0,2,TEXTO
Ordenanzas ordenadas\OCR ok\algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,ordenadas,algarrobo,algarrobo_3336_aprueba_la_modificacion_del_plan_regulador_comuna_de_algarrobo_singularizad__Exportar.pdf,PDF,638850,b046117c16cd0792fc4d5311ac21bd189d2e1b39777c90b334a4193502ba91e0,4,5118,2,0,2,TEXTO
Ordenanzas ordenadas\OCR ok\AN57FF~1.PDF,ordenadas,an57ff~1,AN57FF~1.PDF,PDF,1462528,42e57bda259bd44cb64fcf6fa645edce4d353685d0bb39aaca8fbabb49b71473,7,17445,7,0,0,TEXTO
descargas\andacollo\diario_oficial\445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,descargas,andacollo,445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,PDF,41779,ab229622dc3ea9bf64937093d14f3001c7f23461e6654cb6a413e1fc59bb016e,2,4663,2,0,0,TEXTO
Ordenanzas Descargadas\1-600\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,descargadas,andacollo,andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,PDF,41779,ab229622dc3ea9bf64937093d14f3001c7f23461e6654cb6a413e1fc59bb016e,2,4663,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,ordenadas,andacollo,andacollo_445_aprueba_enmienda_n_1_al_plan_regulador_comunal__Exportar.pdf,PDF,41779,ab229622dc3ea9bf64937093d14f3001c7f23461e6654cb6a413e1fc59bb016e,2,4663,2,0,0,TEXTO
descargas\angol\diario_oficial\40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,descargas,angol,40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,PDF,914314,b944344666948d068f0b0a915f6abcd59664a3fc1ca3b9a768f988587afeca78,20,35167,20,0,0,TEXTO
Ordenanzas Descargadas\1-600\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,descargadas,angol,angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,PDF,914314,b944344666948d068f0b0a915f6abcd59664a3fc1ca3b9a768f988587afeca78,20,35167,20,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,ordenadas,angol,angol_40_gobierno_regional_de_la_araucania_promulga_actualizacion_del_plan_regulador_c__40.pdf,PDF,914314,b944344666948d068f0b0a915f6abcd59664a3fc1ca3b9a768f988587afeca78,20,35167,20,0,0,TEXTO
descargas\antofagasta\diario_oficial\136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,descargas,antofagasta,136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,PDF,26348,4201283c274c96d73edecc44af7bf456ad7cab6d654b019e81c0c0c3d83b6a55,1,2694,1,0,0,TEXTO
descargas\antofagasta\diario_oficial\145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,descargas,antofagasta,145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,PDF,955786,ec12f33523e2cf3127822457f371c78389a4df563edb2fd50c11755e188fbdfc,20,31687,17,3,0,MIXTO
descargas\antofagasta\diario_oficial\236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,descargas,antofagasta,236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,PDF,18375320,e91cc780253b7c4565ff5d3f86c314e54f9a334932b1b6884a029177beb067a3,60,75379,41,18,1,MIXTO
descargas\antofagasta\diario_oficial\546_da_inicio_a_procedimiento_de_modificacion_de_plan_regulador_comunal_de_antof__Exportar.pdf,descargas,antofagasta,546_da_inicio_a_procedimiento_de_modificacion_de_plan_regulador_comunal_de_antof__Exportar.pdf,PDF,742705,cdfdf46f9a2d630d73678025da2e1814a51ef8e73e746311f517f4a4760796ae,4,6301,3,1,0,MIXTO
descargas\antofagasta\diario_oficial\547_da_inicio_a_procedimiento_de_modificacion_del_plan_regulador_comunal_de_anto__Exportar.pdf,descargas,antofagasta,547_da_inicio_a_procedimiento_de_modificacion_del_plan_regulador_comunal_de_anto__Exportar.pdf,PDF,245887,e6f5d9fd27093822237364f7b3fb4305dcf0800020c0d50670d59e4292728885,3,5611,3,0,0,TEXTO
descargas\antofagasta\diario_oficial\621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,descargas,antofagasta,621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,PDF,24947,af78896a380779fc12f7626d8f6fc63cf7bb3abd61e7c84e27f4eb64dc7e4f02,1,887,1,0,0,TEXTO
descargas\antofagasta\diario_oficial\816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,descargas,antofagasta,816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,PDF,14865755,052389a20ec8bd57b0462ba010913118bcf1c906c257174cacd3452e7c798e07,52,48834,46,5,1,TEXTO
Ordenanzas Descargadas\1-600\antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,descargadas,antofagasta,antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,PDF,26348,4201283c274c96d73edecc44af7bf456ad7cab6d654b019e81c0c0c3d83b6a55,1,2694,1,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,ordenadas,antofagasta,antofagasta_136_modifica_ordenaza_local_de_plan_regulador__Exportar.pdf,PDF,26348,4201283c274c96d73edecc44af7bf456ad7cab6d654b019e81c0c0c3d83b6a55,1,2694,1,0,0,TEXTO
Ordenanzas Descargadas\1-600\antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,descargadas,antofagasta,antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,PDF,955786,ec12f33523e2cf3127822457f371c78389a4df563edb2fd50c11755e188fbdfc,20,31687,17,3,0,MIXTO
Ordenanzas ordenadas\OCR ok\antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,ordenadas,antofagasta,antofagasta_145_modifica_plan_regulador_comunal_de_antofagasta__Exportar.pdf,PDF,955786,ec12f33523e2cf3127822457f371c78389a4df563edb2fd50c11755e188fbdfc,20,31687,17,3,0,MIXTO
Ordenanzas Descargadas\1-600\antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,descargadas,antofagasta,antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,PDF,18375320,e91cc780253b7c4565ff5d3f86c314e54f9a334932b1b6884a029177beb067a3,60,75379,41,18,1,MIXTO
Ordenanzas ordenadas\OCR ok\antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,ordenadas,antofagasta,antofagasta_236_promulga_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal_de___Exportar.pdf,PDF,18375320,e91cc780253b7c4565ff5d3f86c314e54f9a334932b1b6884a029177beb067a3,60,75379,41,18,1,MIXTO
Ordenanzas Descargadas\1-600\antofagasta_546_da_inicio_a_procedimiento_de_modificacion_de_plan_regulador_comunal_de_antof__Exportar.pdf,descargadas,antofagasta,antofagasta_546_da_inicio_a_procedimiento_de_modificacion_de_plan_regulador_comunal_de_antof__Exportar.pdf,PDF,742705,cdfdf46f9a2d630d73678025da2e1814a51ef8e73e746311f517f4a4760796ae,4,6301,3,1,0,MIXTO
Ordenanzas Descargadas\1-600\antofagasta_547_da_inicio_a_procedimiento_de_modificacion_del_plan_regulador_comunal_de_anto__Exportar.pdf,descargadas,antofagasta,antofagasta_547_da_inicio_a_procedimiento_de_modificacion_del_plan_regulador_comunal_de_anto__Exportar.pdf,PDF,245887,e6f5d9fd27093822237364f7b3fb4305dcf0800020c0d50670d59e4292728885,3,5611,3,0,0,TEXTO
Ordenanzas Descargadas\1-600\antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,descargadas,antofagasta,antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,PDF,24947,af78896a380779fc12f7626d8f6fc63cf7bb3abd61e7c84e27f4eb64dc7e4f02,1,887,1,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,ordenadas,antofagasta,antofagasta_621_aprueba_modificacion_a_ordenanza_local_plan_regulador__Exportar.pdf,PDF,24947,af78896a380779fc12f7626d8f6fc63cf7bb3abd61e7c84e27f4eb64dc7e4f02,1,887,1,0,0,TEXTO
Ordenanzas Descargadas\1-600\antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,descargadas,antofagasta,antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,PDF,14865755,052389a20ec8bd57b0462ba010913118bcf1c906c257174cacd3452e7c798e07,52,48834,46,5,1,TEXTO
Ordenanzas ordenadas\OCR ok\antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,ordenadas,antofagasta,antofagasta_816_promulga_el_texto_aprobatorio_de_la_modificacion_del_plan_regulador_comunal___Exportar.pdf,PDF,14865755,052389a20ec8bd57b0462ba010913118bcf1c906c257174cacd3452e7c798e07,52,48834,46,5,1,TEXTO
Ordenanzas Descargadas\1-600\antofagasta_decreto_alcaldicio_1080_disponese_el_llamado_a_propuesta_publica_denominada_actu__61372b59-a19a-4979-8636-6077cbdfe17a.pdf,descargadas,antofagasta,antofagasta_decreto_alcaldicio_1080_disponese_el_llamado_a_propuesta_publica_denominada_actu__61372b59-a19a-4979-8636-6077cbdfe17a.pdf,PDF,483568,4dc2f162b6baf3c9603473f505ea39c18692995ae9e5415b410ad84e9cdde9f2,2,0,0,2,0,ESCANEADO
Ordenanzas Descargadas\1-600\antofagasta_decreto_alcaldicio_1287_adjudicase_modificacion_plan_regulador_sector_norte_terc__742547a5-b8b4-4c3d-8f22-65d5121f917a.pdf,descargadas,antofagasta,antofagasta_decreto_alcaldicio_1287_adjudicase_modificacion_plan_regulador_sector_norte_terc__742547a5-b8b4-4c3d-8f22-65d5121f917a.pdf,PDF,754020,ef757dbf03368db7b770061be6cdcfa2c3366df7c523aef1b6e0fb9aeb3f3c80,1,0,0,1,0,ESCANEADO
Ordenanzas Descargadas\1-600\antofagasta_decreto_alcaldicio_546_dese_por_iniciado_el_procedimiento_de_modificacion_del_pl__476066eb-7f3e-40b2-8b01-d4bb783e281e.pdf,descargadas,antofagasta,antofagasta_decreto_alcaldicio_546_dese_por_iniciado_el_procedimiento_de_modificacion_del_pl__476066eb-7f3e-40b2-8b01-d4bb783e281e.pdf,PDF,1437929,fed803e612c72c173e0eb55286f862659391ba64119c9e684d7ff52cd8b6a466,4,0,0,4,0,ESCANEADO
Ordenanzas Descargadas\1-600\antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,descargadas,antofagasta,antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,PDF,464172,8512311952a96599a93a03f6f5020c5a57ac6ce9d3f9161586163fb16c4446ec,84,164309,81,0,3,TEXTO
Ordenanzas ordenadas\OCR ok\antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,ordenadas,antofagasta,antofagasta_ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,PDF,464172,8512311952a96599a93a03f6f5020c5a57ac6ce9d3f9161586163fb16c4446ec,84,164309,81,0,3,TEXTO
Ordenanzas Descargadas\1-600\antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,descargadas,antofagasta,antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,PDF,51355,e00b1217bcf2c64d42175f93293b4c1c86265a6a7aa7a2210fe30148293a2e1f,5,12480,5,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,ordenadas,antofagasta,antofagasta_sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,PDF,51355,e00b1217bcf2c64d42175f93293b4c1c86265a6a7aa7a2210fe30148293a2e1f,5,12480,5,0,0,TEXTO
descargas\antofagasta\busqueda_global\decreto_alcaldicio_1080_disponese_el_llamado_a_propuesta_publica_denominada_actu__61372b59-a19a-4979-8636-6077cbdfe17a.pdf,descargas,antofagasta,decreto_alcaldicio_1080_disponese_el_llamado_a_propuesta_publica_denominada_actu__61372b59-a19a-4979-8636-6077cbdfe17a.pdf,PDF,483568,4dc2f162b6baf3c9603473f505ea39c18692995ae9e5415b410ad84e9cdde9f2,2,0,0,2,0,ESCANEADO
descargas\antofagasta\busqueda_global\decreto_alcaldicio_1287_adjudicase_modificacion_plan_regulador_sector_norte_terc__742547a5-b8b4-4c3d-8f22-65d5121f917a.pdf,descargas,antofagasta,decreto_alcaldicio_1287_adjudicase_modificacion_plan_regulador_sector_norte_terc__742547a5-b8b4-4c3d-8f22-65d5121f917a.pdf,PDF,754020,ef757dbf03368db7b770061be6cdcfa2c3366df7c523aef1b6e0fb9aeb3f3c80,1,0,0,1,0,ESCANEADO
descargas\antofagasta\busqueda_global\decreto_alcaldicio_546_dese_por_iniciado_el_procedimiento_de_modificacion_del_pl__476066eb-7f3e-40b2-8b01-d4bb783e281e.pdf,descargas,antofagasta,decreto_alcaldicio_546_dese_por_iniciado_el_procedimiento_de_modificacion_del_pl__476066eb-7f3e-40b2-8b01-d4bb783e281e.pdf,PDF,1437929,fed803e612c72c173e0eb55286f862659391ba64119c9e684d7ff52cd8b6a466,4,0,0,4,0,ESCANEADO
descargas\antofagasta\ordenanzas_vigentes\ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,descargas,antofagasta,ordenanza_plan_regulador_de_la_comuna_de_antofagasta__07-07-2002 Plan Regulador.pdf,PDF,464172,8512311952a96599a93a03f6f5020c5a57ac6ce9d3f9161586163fb16c4446ec,84,164309,81,0,3,TEXTO
descargas\antofagasta\diario_oficial\sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,descargas,antofagasta,sn_modificaciones_al_plan_regulador_comunal_de_antofagasta__Exportar.pdf,PDF,51355,e00b1217bcf2c64d42175f93293b4c1c86265a6a7aa7a2210fe30148293a2e1f,5,12480,5,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1263_2021.pdf,descargadas,antuco,antuco_decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1263_2021.pdf,PDF,9847894,b0e8ffa1be92960f293c8a14b77e9da7113e9070717528303330bb539e246f2d,9,0,0,9,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1898_2019.pdf,descargadas,antuco,antuco_decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1898_2019.pdf,PDF,11648252,538ca81b9714af93ea095041d991203d058d9ceb2635e5b866e778e920ab4f87,12,0,0,12,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_ordenanza_municipal_sobre_alimentacion_saludable_y_promocion_de___Decreto_9914_2018.pdf,descargadas,antuco,antuco_decreto_aprueba_ordenanza_municipal_sobre_alimentacion_saludable_y_promocion_de___Decreto_9914_2018.pdf,PDF,772713,1fa9a5d97970d5899dc6f135c3b7ba69d190a80e23d70d893f35e9dd6e3231ff,5,8235,5,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_ordenanza_municipal_sobre_autorizacion_de_transporte_de_basuras___Decreto_2049_2017.pdf,descargadas,antuco,antuco_decreto_aprueba_ordenanza_municipal_sobre_autorizacion_de_transporte_de_basuras___Decreto_2049_2017.pdf,PDF,1375796,2bf18452f63504de87cc016c9b3e245004a1170368c0f818ba166ce79933fb26,10,20621,10,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\antuco_decreto_aprueba_ordenanza_municipal_sobre_autorizacion_de_transporte_de_basuras___Decreto_2049_2017.pdf,ordenadas,antuco,antuco_decreto_aprueba_ordenanza_municipal_sobre_autorizacion_de_transporte_de_basuras___Decreto_2049_2017.pdf,PDF,1375796,2bf18452f63504de87cc016c9b3e245004a1170368c0f818ba166ce79933fb26,10,20621,10,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_ordenanza_n22026_municipal_sobretenencia_responsable_de_mascotas__Decreto_2_2026.pdf,descargadas,antuco,antuco_decreto_aprueba_ordenanza_n22026_municipal_sobretenencia_responsable_de_mascotas__Decreto_2_2026.pdf,PDF,402603,b0a3b90851e009ba0656fa3fe883de8c500453f3abe05ccd807ba0da2634c8dd,35,91467,35,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_aprueba_ordenanza_n_012026_municipal_sobre_tenencia_responsable_de_masco__Decreto_1159_2026.pdf,descargadas,antuco,antuco_decreto_aprueba_ordenanza_n_012026_municipal_sobre_tenencia_responsable_de_masco__Decreto_1159_2026.pdf,PDF,21920859,72ce491b48d946a2fb48cc53a0c4b6f1f53e972ef76f3bca17f499b97d7e8f3c,25,0,0,25,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_de_cierre_o_implementacion_de_las_medidas_de_control_de_acceso__Decreto_2_2022.pdf,descargadas,antuco,antuco_decreto_ordenanza_de_cierre_o_implementacion_de_las_medidas_de_control_de_acceso__Decreto_2_2022.pdf,PDF,4767690,df17b7f23cc2b870bfe8fe021ed90eaa0759abbbfa01e7daaa9e3af27d512a31,6,0,0,6,0,ESCANEADO
Ordenanzas ordenadas\antuco_decreto_ordenanza_de_cierre_o_implementacion_de_las_medidas_de_control_de_acceso__Decreto_2_2022.pdf,ordenadas,antuco,antuco_decreto_ordenanza_de_cierre_o_implementacion_de_las_medidas_de_control_de_acceso__Decreto_2_2022.pdf,PDF,4767690,df17b7f23cc2b870bfe8fe021ed90eaa0759abbbfa01e7daaa9e3af27d512a31,6,0,0,6,0,ESCANEADO
Ordenanzas ordenadas\OCR ok\antuco_decreto_ordenanza_de_cierre_o_implementacion_de_las_medidas_de_control_de_acceso__Decreto_2_2022.pdf,ordenadas,antuco,antuco_decreto_ordenanza_de_cierre_o_implementacion_de_las_medidas_de_control_de_acceso__Decreto_2_2022.pdf,PDF,4818928,ea9feb6da8c4853f310cdd77fbf6f368ffc7442acc177847a86afd83340b95c7,6,16375,6,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_municipal_sobre_subvenciones_municipales__Decreto_1_2026.pdf,descargadas,antuco,antuco_decreto_ordenanza_municipal_sobre_subvenciones_municipales__Decreto_1_2026.pdf,PDF,3275680,cdf060802c40c449c0e609511b31e60e2afbd053d4d5764036642e11d262582a,12,0,0,12,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_sobre_aseo_ornato_y_tenencia_responsable_de_mascotas_del_27_4___Decreto_205_2015.pdf,descargadas,antuco,antuco_decreto_ordenanza_sobre_aseo_ornato_y_tenencia_responsable_de_mascotas_del_27_4___Decreto_205_2015.pdf,PDF,6358922,941b37d265e0f66294b91bf675002af5597476691a51b9c71b40becb965f1f37,18,44110,18,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_sobre_la_regulacion_del_otorgamiento_de_beca_municipal_de_ense__Decreto_5222_2017.pdf,descargadas,antuco,antuco_decreto_ordenanza_sobre_la_regulacion_del_otorgamiento_de_beca_municipal_de_ense__Decreto_5222_2017.pdf,PDF,6725929,8730c433d8f3fd4d56dbb4419bcd97def02fc5019fd1db144aebbf3883665a5e,7,0,0,7,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_sobre_la_regulacion_transito_vehicular_uso_de_cadenas_aseo_y_o__Decreto_554_2015.pdf,descargadas,antuco,antuco_decreto_ordenanza_sobre_la_regulacion_transito_vehicular_uso_de_cadenas_aseo_y_o__Decreto_554_2015.pdf,PDF,902845,2fbe2d76df0ab81ebf6090d5f05545c13b7413ae7f19a70c9daadbd578341d40,4,7021,4,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_sobre_otorgamiento_de_beca_municipal_de_ensenanza_superior_de___Decreto_3_2023.pdf,descargadas,antuco,antuco_decreto_ordenanza_sobre_otorgamiento_de_beca_municipal_de_ensenanza_superior_de___Decreto_3_2023.pdf,PDF,8949005,8038840a2aa87117a805588068e4d041a93c48623f31b9e9898de64012c2dce5,11,0,0,11,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanza_sobre_subvenciones_municipalies__Decreto_2_2023.pdf,descargadas,antuco,antuco_decreto_ordenanza_sobre_subvenciones_municipalies__Decreto_2_2023.pdf,PDF,13433437,e3c8ab525dda07ea69dc88b14fd53e585fd04eb0605ae9386d4c92889e2e55fe,5,0,0,5,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_decreto_ordenanzas_sobre_subvenciones_municipales_del_22092004__Decreto_201_2004.pdf,descargadas,antuco,antuco_decreto_ordenanzas_sobre_subvenciones_municipales_del_22092004__Decreto_201_2004.pdf,PDF,4683593,1b2a777046d1a0b02466d4cdbf8db0d19286b04c9beea6b447361b5f4ba6f40c,6,12227,6,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_decreto_rectifica_decreto_alcaldicio_n_1159_de_fecha_23_de_febrero_de_2026_que_a__1871.pdf,descargadas,antuco,antuco_decreto_rectifica_decreto_alcaldicio_n_1159_de_fecha_23_de_febrero_de_2026_que_a__1871.pdf,PDF,1764327,aba86cccdee1225e1106a44bbcbc0c3ff68784409a0cd5951acd0a7e9f24ec11,2,0,0,2,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_ordenanza_resolucionacto__1777394858_edit_DA_N___3762_DEL_10.06.2022_APRUEBA_ORDENANZA_MUNICIPAL_EXTRACCION_DE_ARIDOS_EN_POZOS_LASTREROS_DE_PROPIEDAD_PARTICULAR_EN_LA_COMUNA_DE_ANTUCO.pdf,descargadas,antuco,antuco_ordenanza_resolucionacto__1777394858_edit_DA_N___3762_DEL_10.06.2022_APRUEBA_ORDENANZA_MUNICIPAL_EXTRACCION_DE_ARIDOS_EN_POZOS_LASTREROS_DE_PROPIEDAD_PARTICULAR_EN_LA_COMUNA_DE_ANTUCO.pdf,PDF,1462528,42e57bda259bd44cb64fcf6fa645edce4d353685d0bb39aaca8fbabb49b71473,0,0,0,0,0,ILEGIBLE
Ordenanzas Descargadas\1-600\antuco_ordenanza_resolucionacto__1777394899_edit_Decreto_Alcaldicio_N___5695_APRUEBA_ORDENANZA_EXTRACCI__N_DE___RIDOS_EN_POZOS.pdf,descargadas,antuco,antuco_ordenanza_resolucionacto__1777394899_edit_Decreto_Alcaldicio_N___5695_APRUEBA_ORDENANZA_EXTRACCI__N_DE___RIDOS_EN_POZOS.pdf,PDF,435697,8bd02c9c6502ce0407fd89bd6365f4b86ea029dc0d58b3e1fdfbd473a8f74bd7,4,10552,4,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\antuco_ordenanza_resolucionacto__1777394899_edit_Decreto_Alcaldicio_N___5695_APRUEBA_ORDENANZA_EXTRACCI__N_DE___RIDOS_EN_POZOS.pdf,ordenadas,antuco,antuco_ordenanza_resolucionacto__1777394899_edit_Decreto_Alcaldicio_N___5695_APRUEBA_ORDENANZA_EXTRACCI__N_DE___RIDOS_EN_POZOS.pdf,PDF,435697,8bd02c9c6502ce0407fd89bd6365f4b86ea029dc0d58b3e1fdfbd473a8f74bd7,4,10552,4,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_ordenanza_resolucionacto__1777394941_edit_DA_N___2621_Ordenanza-uso-obligatorio-de-mascarilla-Antuco.pdf,descargadas,antuco,antuco_ordenanza_resolucionacto__1777394941_edit_DA_N___2621_Ordenanza-uso-obligatorio-de-mascarilla-Antuco.pdf,PDF,3146334,7f605df486e80c1a6b788264a614229149dcd66d8635c768fc1dcb9c5a5c309d,3,0,0,3,0,ESCANEADO
Ordenanzas Descargadas\1-600\antuco_ordenanza_resolucionacto__1777395479_edit_Ordenanza_Apicola_DA_N___09268_2019.pdf,descargadas,antuco,antuco_ordenanza_resolucionacto__1777395479_edit_Ordenanza_Apicola_DA_N___09268_2019.pdf,PDF,5227307,f958ae342fa61464a3038f0b40715d1f0a233ecfed8702f78148e11ed5eaf3f1,7,17032,7,0,0,TEXTO
Ordenanzas Descargadas\1-600\antuco_ordenanza_resolucionacto__Decreto_4_2003.pdf,descargadas,antuco,antuco_ordenanza_resolucionacto__Decreto_4_2003.pdf,PDF,4089925,68aefe46befaa6f9338eb7f33f863cab4f5d7ec355a473bd62b630e3de93b350,9,23232,9,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\antuco_ordenanza_resolucionacto__Decreto_4_2003.pdf,ordenadas,antuco,antuco_ordenanza_resolucionacto__Decreto_4_2003.pdf,PDF,4089925,68aefe46befaa6f9338eb7f33f863cab4f5d7ec355a473bd62b630e3de93b350,9,23232,9,0,0,TEXTO
descargas\antuco\ordenanzas_vigentes\decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1263_2021.pdf,descargas,antuco,decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1263_2021.pdf,PDF,9847894,b0e8ffa1be92960f293c8a14b77e9da7113e9070717528303330bb539e246f2d,9,0,0,9,0,ESCANEADO
descargas\antuco\ordenanzas_vigentes\decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1898_2019.pdf,descargas,antuco,decreto_aprueba_modificacion_de_ordenanza_que_regula_otorgamiento_de_beca_munici__Decreto_1898_2019.pdf,PDF,11648252,538ca81b9714af93ea095041d991203d058d9ceb2635e5b866e778e920ab4f87,12,0,0,12,0,ESCANEADO
