ruta,carpeta_origen,comuna,nombre,tipo_archivo,bytes,sha256,paginas,chars_total,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto
descargas\conchali\diario_oficial\292_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Exportar.pdf,descargas,conchali,292_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Exportar.pdf,PDF,8791832,5517ea62806147d466ec6b43db3eb478c89c11813f7dfe01ff32923617c0fedc,27,23723,14,10,3,MIXTO
descargas\conchali\diario_oficial\302_municipalidad_de_conchali_establece_normas_urbanisticas_mediante_la_asignaci__Exportar.pdf,descargas,conchali,302_municipalidad_de_conchali_establece_normas_urbanisticas_mediante_la_asignaci__Exportar.pdf,PDF,374351,f40cecbe77175e36d41869abd465a7388687763fdb356f8f11b919c1d5f32bbb,2,2607,2,0,0,TEXTO
Ordenanzas Descargadas\1-600\conchali_292_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Exportar.pdf,descargadas,conchali,conchali_292_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Exportar.pdf,PDF,8791832,5517ea62806147d466ec6b43db3eb478c89c11813f7dfe01ff32923617c0fedc,27,23723,14,10,3,MIXTO
Ordenanzas ordenadas\OCR ok\conchali_292_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Exportar.pdf,ordenadas,conchali,conchali_292_municipalidad_de_conchali_aprueba_plan_regulador_comunal__Exportar.pdf,PDF,8791832,5517ea62806147d466ec6b43db3eb478c89c11813f7dfe01ff32923617c0fedc,27,23723,14,10,3,MIXTO
Ordenanzas Descargadas\1-600\conchali_302_municipalidad_de_conchali_establece_normas_urbanisticas_mediante_la_asignaci__Exportar.pdf,descargadas,conchali,conchali_302_municipalidad_de_conchali_establece_normas_urbanisticas_mediante_la_asignaci__Exportar.pdf,PDF,374351,f40cecbe77175e36d41869abd465a7388687763fdb356f8f11b919c1d5f32bbb,2,2607,2,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\conchali_302_municipalidad_de_conchali_establece_normas_urbanisticas_mediante_la_asignaci__Exportar.pdf,ordenadas,conchali,conchali_302_municipalidad_de_conchali_establece_normas_urbanisticas_mediante_la_asignaci__Exportar.pdf,PDF,374351,f40cecbe77175e36d41869abd465a7388687763fdb356f8f11b919c1d5f32bbb,2,2607,2,0,0,TEXTO
descargas\copiapo\diario_oficial\14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo_sector_rio_copiapo__2533976.pdf,descargas,copiapo,14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo_sector_rio_copiapo__2533976.pdf,PDF,465305,967fe09451c4785861b9a0c0775be7de807f45786285f29033a433cb6110a4b9,3,6215,3,0,0,TEXTO
descargas\copiapo\diario_oficial\3381_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__Exportar.pdf,descargas,copiapo,3381_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__Exportar.pdf,PDF,979798,5076929f09523c699caaae32b0b3595d4a6490241cd19a32064769ebd85857c3,55,72681,47,3,5,TEXTO
Ordenanzas Descargadas\1-600\copiapo_14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo_sector_rio_copiapo__2533976.pdf,descargadas,copiapo,copiapo_14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo_sector_rio_copiapo__2533976.pdf,PDF,465305,967fe09451c4785861b9a0c0775be7de807f45786285f29033a433cb6110a4b9,3,6215,3,0,0,TEXTO
Ordenanzas ordenadas\OCR ok\copiapo_14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo_sector_rio_copiapo__2533976.pdf,ordenadas,copiapo,copiapo_14092_introduce_enmienda_al_plan_regulador_comunal_de_copiapo_sector_rio_copiapo__2533976.pdf,PDF,465305,967fe09451c4785861b9a0c0775be7de807f45786285f29033a433cb6110a4b9,3,6215,3,0,0,TEXTO
Ordenanzas Descargadas\1-600\copiapo_3381_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__Exportar.pdf,descargadas,copiapo,copiapo_3381_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__Exportar.pdf,PDF,979798,5076929f09523c699caaae32b0b3595d4a6490241cd19a32064769ebd85857c3,55,72681,47,3,5,TEXTO
Ordenanzas ordenadas\OCR ok\copiapo_3381_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__Exportar.pdf,ordenadas,copiapo,copiapo_3381_aprueba_actualizacion_plan_regulador_de_la_comuna_de_copiapo__Exportar.pdf,PDF,979798,5076929f09523c699caaae32b0b3595d4a6490241cd19a32064769ebd85857c3,55,72681,47,3,5,TEXTO
Ordenanzas Descargadas\1-600\coquimbo_plan_regulador_comunal__361c44fd-f33b-43da-814c-8181506894d2.pdf,descargadas,coquimbo,coquimbo_plan_regulador_comunal__361c44fd-f33b-43da-814c-8181506894d2.pdf,PDF,211484,ba5d9182f9a959a4329830e45ac905a835201da32625627bc7f7000b7f2e84c9,3,4647,3,0,0,TEXTO
descargas\coquimbo\busqueda_global\plan_regulador_comunal__361c44fd-f33b-43da-814c-8181506894d2.pdf,descargas,coquimbo,plan_regulador_comunal__361c44fd-f33b-43da-814c-8181506894d2.pdf,PDF,211484,ba5d9182f9a959a4329830e45ac905a835201da32625627bc7f7000b7f2e84c9,3,4647,3,0,0,TEXTO
Ordenanzas Descargadas\1-600\corral_decreto_exento_1094_inuicua_proceso_eae_plan_regulador_comunal_de_corral__2382367c-6b1a-4f2f-b6eb-e6c00ca7ff04.pdf,descargadas,corral,corral_decreto_exento_1094_inuicua_proceso_eae_plan_regulador_comunal_de_corral__2382367c-6b1a-4f2f-b6eb-e6c00ca7ff04.pdf,PDF,7163646,a18569666c482c5c7258e3bf535e15c8e2d14d68a3c55fc6952c6d52cad7139c,10,0,0,10,0,ESCANEADO
Ordenanzas Descargadas\1-600\corral_decreto_exento_1350_designa_como_contraparte_municipal_adecuacion_planes_regulad__490abd92-ca8d-44eb-9430-7e70dba725b0.pdf,descargadas,corral,corral_decreto_exento_1350_designa_como_contraparte_municipal_adecuacion_planes_regulad__490abd92-ca8d-44eb-9430-7e70dba725b0.pdf,PDF,794692,5061d14d4749e773ae093f0ae19eb5d367049e5905c26fdf856f01bb602797a1,1,0,0,1,0,ESCANEADO
Ordenanzas Descargadas\1-600\corral_decreto_exento_1566_aprueba_enmienda_n_2_del_plan_regulador_comunal_de_corral_se__b094ba72-9a89-42c5-be5d-15a8f07540d2.pdf,descargadas,corral,corral_decreto_exento_1566_aprueba_enmienda_n_2_del_plan_regulador_comunal_de_corral_se__b094ba72-9a89-42c5-be5d-15a8f07540d2.pdf,PDF,2418325,2dc4feebf7ba0a7ad1fc49d55adca741b82eede5c9ca12a0489c2cce21d60156,5,0,0,5,0,ESCANEADO
Ordenanzas Descargadas\1-600\corral_decreto_exento_1904_aprueba_contratacion_directa_profesional_asesor_a_secplan_pa__09ef6a75-3ca4-41ed-96b1-ae4abccc7cbd.pdf,descargadas,corral,corral_decreto_exento_1904_aprueba_contratacion_directa_profesional_asesor_a_secplan_pa__09ef6a75-3ca4-41ed-96b1-ae4abccc7cbd.pdf,PDF,102213,29f13ee78850e0207a9401308166982974a4c33537bdf00aa77e5ed4610c7d7c,1,0,0,1,0,ESCANEADO
Ordenanzas Descargadas\1-600\corral_decreto_exento_1994_designa_como_contraparte_tecnica_y_administrativa_adecuacion__0d7def4c-e080-464a-91e4-f29fa29e5b50.pdf,descargadas,corral,corral_decreto_exento_1994_designa_como_contraparte_tecnica_y_administrativa_adecuacion__0d7def4c-e080-464a-91e4-f29fa29e5b50.pdf,PDF,79666,e82230f93c6a3fb8e4bbf6ffc885eac178ebb6350dcb875add4e8efc3b9ea061,1,0,0,1,0,ESCANEADO
