comuna,familia,ruta,carpeta_origen,nombre,bytes,paginas,paginas_texto,paginas_escaneadas,paginas_vacias,veredicto,copias,copias_distintas,rutas_copias
las_condes,pl_lamina_03_plano_regulador,Ordenanzas Descargadas\600-1200\las_condes_PL_lamina-03_PLANO-REGULADOR.pdf,descargadas,las_condes_PL_lamina-03_PLANO-REGULADOR.pdf,45669940,1,0,1,0,ESCANEADO,2,1,Ordenanzas Descargadas\600-1200\las_condes_PL_lamina-03_PLANO-REGULADOR.pdf | descargas\las_condes\proactiva_externa\PL_lamina-03_PLANO-REGULADOR.pdf
las_condes,pladeco_2014_2017,Ordenanzas Descargadas\600-1200\las_condes_PLADECO_2014-2017.pdf,descargadas,las_condes_PLADECO_2014-2017.pdf,10126060,110,95,5,10,TEXTO,2,1,Ordenanzas Descargadas\600-1200\las_condes_PLADECO_2014-2017.pdf | descargas\las_condes\proactiva_externa\PLADECO_2014-2017.pdf
las_condes,pladeco_2018_2021,Ordenanzas Descargadas\600-1200\las_condes_PLADECO_2018-2021.pdf,descargadas,las_condes_PLADECO_2018-2021.pdf,13933439,127,118,5,4,TEXTO,2,1,Ordenanzas Descargadas\600-1200\las_condes_PLADECO_2018-2021.pdf | descargas\las_condes\proactiva_externa\PLADECO_2018-2021.pdf
las_condes,plan_de_desarrollo_comunal_2022_2025_las_condes,Ordenanzas ordenadas\OCR ok\las_condes_Plan-de-Desarrollo-Comunal-2022-2025-Las-Condes.pdf,ordenadas,las_condes_Plan-de-Desarrollo-Comunal-2022-2025-Las-Condes.pdf,41569627,371,338,22,11,TEXTO,3,1,Ordenanzas Descargadas\600-1200\las_condes_Plan-de-Desarrollo-Comunal-2022-2025-Las-Condes.pdf | Ordenanzas ordenadas\OCR ok\las_condes_Plan-de-Desarrollo-Comunal-2022-2025-Las-Condes.pdf | descargas\las_condes\proactiva_externa\Plan-de-Desarrollo-Comunal-2022-2025-Las-Condes.pdf
las_condes,plan_desarrollo_comunal_2006,Ordenanzas Descargadas\600-1200\las_condes_plan.desarrollo.comunal.2006.pdf,descargadas,las_condes_plan.desarrollo.comunal.2006.pdf,8133384,107,98,7,2,TEXTO,2,1,Ordenanzas Descargadas\600-1200\las_condes_plan.desarrollo.comunal.2006.pdf | descargas\las_condes\proactiva_externa\plan.desarrollo.comunal.2006.pdf
las_condes,plan_desarrollo_comunal_2010,Ordenanzas Descargadas\600-1200\las_condes_plan.desarrollo.comunal.2010.pdf,descargadas,las_condes_plan.desarrollo.comunal.2010.pdf,12196127,93,90,3,0,TEXTO,2,1,Ordenanzas Descargadas\600-1200\las_condes_plan.desarrollo.comunal.2010.pdf | descargas\las_condes\proactiva_externa\plan.desarrollo.comunal.2010.pdf
las_condes,plan_salud_2010,Ordenanzas ordenadas\OCR ok\las_condes_PLAN.SALUD.2010.pdf,ordenadas,las_condes_PLAN.SALUD.2010.pdf,1915721,82,35,33,14,MIXTO,3,1,Ordenanzas Descargadas\600-1200\las_condes_PLAN.SALUD.2010.pdf | Ordenanzas ordenadas\OCR ok\las_condes_PLAN.SALUD.2010.pdf | descargas\las_condes\proactiva_externa\PLAN.SALUD.2010.pdf
las_condes,plano_modificacion_7_prc_lamina_edificacion,Ordenanzas Descargadas\600-1200\las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_EDIFICACION.pdf,descargadas,las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_EDIFICACION.pdf,36958487,1,0,1,0,ESCANEADO,2,1,Ordenanzas Descargadas\600-1200\las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_EDIFICACION.pdf | descargas\las_condes\proactiva_externa\PLANO-MODIFICACION-7-PRC_LAMINA_EDIFICACION.pdf
las_condes,plano_modificacion_7_prc_lamina_uso_de_suelo,Ordenanzas Descargadas\600-1200\las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_USO-DE-SUELO.pdf,descargadas,las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_USO-DE-SUELO.pdf,26132693,1,0,1,0,ESCANEADO,2,1,Ordenanzas Descargadas\600-1200\las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_USO-DE-SUELO.pdf | descargas\las_condes\proactiva_externa\PLANO-MODIFICACION-7-PRC_LAMINA_USO-DE-SUELO.pdf
las_condes,plano_modificacion_7_prc_lamina_vialidad,Ordenanzas Descargadas\600-1200\las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_VIALIDAD.pdf,descargadas,las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_VIALIDAD.pdf,25118343,1,0,1,0,ESCANEADO,2,1,Ordenanzas Descargadas\600-1200\las_condes_PLANO-MODIFICACION-7-PRC_LAMINA_VIALIDAD.pdf | descargas\las_condes\proactiva_externa\PLANO-MODIFICACION-7-PRC_LAMINA_VIALIDAD.pdf
